Pressure,Permeability,Thickness,Inclination,WGR,GasFlow
1,3000,10,60,0,25.2
1,3000,10,60,5,22.5
1,3000,10,60,10,21.2
1,3000,10,60,40,18.5
1,3000,10,60,70,17.0
1,3000,10,60,100,15.8
1,3000,20,0,0,35.1
1,3000,20,0,5,32.2
1,3000,20,0,10,30.4
1,3000,20,0,40,26.5
1,3000,20,0,70,24.4
1,3000,20,0,100,22.7
1,3000,20,30,0,32.8
1,3000,20,30,5,29.9
1,3000,20,30,10,28.2
1,3000,20,30,40,24.7
1,3000,20,30,70,22.7
1,3000,20,30,100,21.0
1,3000,20,60,0,25.2
1,3000,20,60,5,22.5
1,3000,20,60,10,21.2
1,3000,20,60,40,18.5
1,3000,20,60,70,17.0
1,3000,20,60,100,15.8
1,3000,50,0,0,35.2
1,3000,50,0,5,32.3
1,3000,50,0,10,30.5
1,3000,50,0,40,26.6
1,3000,50,0,70,24.5
1,3000,50,0,100,22.7
1,3000,50,30,0,32.9
1,3000,50,30,5,30.0
1,3000,50,30,10,28.3
1,3000,50,30,40,24.8
1,3000,50,30,70,22.7
1,3000,50,30,100,21.1
1,3000,50,60,0,25.3
1,3000,50,60,5,22.6
1,3000,50,60,10,21.3
1,3000,50,60,40,18.5
1,3000,50,60,70,17.0
1,3000,50,60,100,15.9
0.9,10,1,0,0,0.0
0.9,10,1,0,5,0.0
0.9,10,1,0,10,0.0
0.9,10,1,0,40,0.0
0.9,10,1,0,70,0.0
0.9,10,1,0,100,0.0
0.9,10,1,30,0,0.0
0.9,10,1,30,5,0.0
0.9,10,1,30,10,0.0
0.9,10,1,30,40,0.0
0.9,10,1,30,70,0.0
0.9,10,1,30,100,0.0
0.9,10,1,60,0,0.0
0.9,10,1,60,5,0.0
0.9,10,1,60,10,0.0
0.9,10,1,60,40,0.0
0.9,10,1,60,70,0.0
0.9,10,1,60,100,0.0
0.9,10,5,0,0,2.9
0.9,10,5,0,5,0.0
0.9,10,5,0,10,0.0
0.9,10,5,0,40,0.0
0.9,10,5,0,70,0.0
0.9,10,5,0,100,0.0
0.9,10,5,30,0,2.9
0.9,10,5,30,5,0.0
0.9,10,5,30,10,0.0
0.9,10,5,30,40,0.0
0.9,10,5,30,70,0.0
0.9,10,5,30,100,0.0
0.9,10,5,60,0,2.9
0.9,10,5,60,5,0.0
0.9,10,5,60,10,0.0
0.9,10,5,60,40,0.0
0.9,10,5,60,70,0.0
0.9,10,5,60,100,0.0
0.9,10,10,0,0,5.7
0.9,10,10,0,5,5.1
0.9,10,10,0,10,5.0
0.9,10,10,0,40,5.0
0.9,10,10,0,70,4.9
0.9,10,10,0,100,4.9
0.9,10,10,30,0,5.7
0.9,10,10,30,5,5.0
0.9,10,10,30,10,5.0
0.9,10,10,30,40,4.9
0.9,10,10,30,70,4.9
0.9,10,10,30,100,4.8
0.9,10,10,60,0,5.6
0.9,10,10,60,5,4.8
0.9,10,10,60,10,4.7
0.9,10,10,60,40,4.6
0.9,10,10,60,70,4.5
0.9,10,10,60,100,4.5
0.9,10,20,0,0,10.5
0.9,10,20,0,5,9.9
0.9,10,20,0,10,9.7
0.9,10,20,0,40,9.3
0.9,10,20,0,70,9.0
0.9,10,20,0,100,8.8
0.9,10,20,30,0,10.4
0.9,10,20,30,5,9.6
0.9,10,20,30,10,9.4
0.9,10,20,30,40,9.0
0.9,10,20,30,70,8.8
0.9,10,20,30,100,8.5
0.9,10,20,60,0,9.7
0.9,10,20,60,5,8.7
0.9,10,20,60,10,8.4
0.9,10,20,60,40,8.0
0.9,10,20,60,70,7.7
0.9,10,20,60,100,7.5
0.9,10,50,0,0,18.9
0.9,10,50,0,5,17.6
0.9,10,50,0,10,17.0
0.9,10,50,0,40,15.7
0.9,10,50,0,70,14.9
0.9,10,50,0,100,14.2
0.9,10,50,30,0,18.2
0.9,10,50,30,5,16.9
0.9,10,50,30,10,16.3
0.9,10,50,30,40,14.9
0.9,10,50,30,70,14.1
0.9,10,50,30,100,13.4
0.9,10,50,60,0,15.5
0.9,10,50,60,5,14.0
0.9,10,50,60,10,13.4
0.9,10,50,60,40,12.1
0.9,10,50,60,70,11.3
0.9,10,50,60,100,10.7
0.9,50,1,0,0,2.6
0.9,50,1,0,5,0.0
0.9,50,1,0,10,0.0
0.9,50,1,0,40,0.0
0.9,50,1,0,70,0.0
0.9,50,1,0,100,0.0
0.9,50,1,30,0,2.6
0.9,50,1,30,5,0.0
0.9,50,1,30,10,0.0
0.9,50,1,30,40,0.0
0.9,50,1,30,70,0.0
0.9,50,1,30,100,0.0
0.9,50,1,60,0,2.5
0.9,50,1,60,5,0.0
0.9,50,1,60,10,0.0
0.9,50,1,60,40,0.0
0.9,50,1,60,70,0.0
0.9,50,1,60,100,0.0
